BJD - 2454833, Corrected Flux
2751.694920427, 1.001605028,
2751.715352428, 1.002072742,
2751.735784529, 1.002037580,
2751.756216429, 1.001644980,
2751.776648429, 1.002119563,
2751.797080529, 1.002018840,
2751.817512428, 1.001367127,
2751.837944427, 1.001426686,
2751.858376526, 1.001410313,
2751.878808524, 1.001506315,
2751.899240421, 1.001262262,
2751.919672519, 1.001739841,
2751.940104516, 1.001219731,
2751.960536413, 1.001805249,
2751.980968509, 1.001578451,
2752.001400505, 1.001049310,
2752.021832601, 1.001516545,
2752.042264496, 1.001592534,
2752.062696491, 1.001356229,
2752.083128585, 1.001530428,
2752.123992474, 1.001569009,
2752.144424567, 1.001214892,
2752.164856460, 1.000892042,
2752.185288453, 1.001229172,
2752.205720545, 1.001480220,
2752.226152437, 1.001232437,
2752.246584429, 1.001804929,
2752.267016420, 1.000875361,
2752.287448411, 1.001549496,
2752.307880402, 1.000704206,
2752.328312392, 1.000968698,
2752.348744382, 1.000605095,
2752.369176372, 1.000792006,
2752.389608461, 1.001005696,
2752.410040350, 1.000677375,
2752.430472338, 1.000513564,
2752.450904426, 1.001134922,
2752.471336314, 1.000958483,
2752.491768401, 1.000992301,
2752.512200388, 1.000809978,
2752.532632275, 1.000737018,
2752.553064361, 1.000906207,
2752.573496347, 1.001457663,
2752.614360318, 1.000774153,
2752.634792303, 1.000866852,
2752.655224188, 1.001108548,
2752.675656272, 1.000838819,
2752.696088255, 1.000315703,
2752.716520239, 1.000108415,
2752.736952222, 1.000600028,
2752.757384205, 1.000676702,
2752.777816187, 1.000717575,
2752.798248169, 1.000665714,
2752.818680151, 1.000988924,
2752.839112132, 1.000677363,
2752.859544213, 1.000432687,
2752.879976094, 1.000441277,
2752.900408074, 0.999739881,
2752.920840154, 0.999915275,
2752.941272034, 1.000089748,
2752.961704113, 1.000351941,
2752.982135992, 0.999946978,
2753.002567970, 0.999937005,
2753.023000048, 1.000321573,
2753.043431926, 1.000104424,
2753.063863904, 1.000101835,
2753.125159834, 1.000155030,
2753.145591910, 0.999785994,
2753.166023786, 1.000120824,
2753.186455761, 1.000162617,
2753.206887836, 0.999855925,
2753.227319811, 1.000176010,
2753.247751685, 0.999649406,
2753.268183759, 0.999499659,
2753.288615732, 0.999788110,
2753.309047606, 0.999911378,
2753.329479679, 0.999944154,
2753.349911651, 1.000000000,
2753.370343723, 0.999962789,
2753.390775595, 0.999799946,
2753.411207567, 0.999401506,
2753.431639638, 0.999113845,
2753.452071509, 0.999480079,
2753.472503479, 0.999695618,
2753.492935549, 0.999255090,
2753.513367419, 0.999514926,
2753.533799389, 0.999220841,
2753.554231457, 0.999414021,
2753.595095294, 1.000349875,
2753.676823265, 0.999315673,
2753.697255131, 0.999394304,
2753.717687097, 0.999096949,
2753.738119163, 0.999223668,
2753.758551029, 0.998962389,
2753.778982995, 0.998961015,
2753.799415059, 0.997944720,
2753.819846924, 0.998769480,
2753.840278988, 0.999009107,
2753.860710952, 0.998957647,
2753.881142815, 0.998717648,
2753.901574878, 0.998828134,
2753.922006842, 0.999146072,
2753.942438704, 0.999338396,
2753.962870766, 0.998909386,
2753.983302728, 0.998298619,
2754.003734589, 0.998971821,
2754.024166651, 0.998943024,
2754.044598611, 0.998573986,
2754.085462532, 0.998864258,
2754.105894491, 0.999353627,
2754.126326451, 0.998949630,
2754.146758410, 0.998787822,
2754.167190369, 0.998236758,
2754.187622327, 0.998828935,
2754.208054385, 0.999046421,
2754.228486243, 0.998777061,
2754.248918200, 0.998623785,
2754.269350257, 0.998504110,
2754.289782114, 0.998629459,
2754.310214170, 0.998418915,
2754.330646126, 0.998532436,
2754.351077982, 0.998549368,
2754.371510037, 0.998719407,
2754.391941992, 0.998377491,
2754.412373847, 0.998966316,
